商品ID	标签ID	排序权重	道具类型	道具ItemId	道具等级	等级组标识	是否跳级购买	限购数量	获得数量	数量多语言	货币Id	商品价格	道具名称	道具描述	道具图片	附魔ID	道具类型说明	备注.1	备注.2	排序权重.1
123	1000	139	0	121	0	#	0	-1	6	#	1	30	CommodityMechant_name_4_44	CommodityMechant_desc_4_44	#	#		方块	末地石	
124	1000	140	0	261	0	#	0	-1	1	#	2	12	CommodityMechant_name_3_39	CommodityMechant_desc_3_39	set:items.json image:bow_standby	#		武器	普通弓	
125	1000	141	0	95	0	#	0	-1	6	#	1	30	CommodityMechant_name_4_45	CommodityMechant_desc_4_45	#	#		方块	染色玻璃	
126	1000	142	0	5	0	#	0	-1	16	#	2	4	CommodityMechant_name_4_46	CommodityMechant_desc_4_46	#	#		方块	橡木板	
127	1000	143	0	35	0	#	0	-1	16	#	1	4	CommodityMechant_name_4_43	CommodityMechant_desc_4_43	#	#		方块	羊毛	
128	1000	144	3	101	0	#	0	-1	1	12h	5	20	ShopConfig_name_8	ShopConfig_desc_8	set:bedwaritem.json image:tequan_daoju	#		道具特权	在道具商店中购买道具会买一送一	
129	1000	145	0	261	0	#	0	-1	1	#	2	24	CommodityMechant_name_3_40	CommodityMechant_desc_3_40	set:bedwar_item.json image:g1008_props_bow_1	1		武器	中级弓	
130	1000	146	0	279	4	axe	0	-1	1	#	2	6	CommodityMechant_name_1_8	CommodityMechant_desc_1_8	set:bedwar_item.json image:g1008_props_ax_4	#		工具	钻石斧	
131	1000	147	0	278	4	pickaxe	0	-1	1	#	2	6	CommodityMechant_name_1_4	CommodityMechant_desc_1_4	set:bedwar_item.json image:g1008_props_pickaxe_4	#		工具	钻石镐	
132	1000	148	3	102	0	#	0	-1	1	12h	5	6	ShopConfig_name_9	ShopConfig_desc_9	set:bedwaritem.json image:tequan_hp	#		生命值强化	最大生命值+5	
134	1000	149	0	65	0	#	0	-1	16	#	1	4	CommodityMechant_name_4_48	CommodityMechant_desc_4_48	#	#		方块	梯子	
901	10	150	5	0	0	#	0	-1	10	#	5	10	ShopConfig_name_901	ShopConfig_desc_901	set:icon_haojiao.json image:haojiao	#		号角		
902	10	151	5	0	0	#	0	-1	50	#	5	50	ShopConfig_name_902	ShopConfig_desc_902	set:icon_haojiao.json image:haojiao	#		号角		
903	10	152	5	0	0	#	0	-1	100	#	5	100	ShopConfig_name_903	ShopConfig_desc_903	set:icon_haojiao.json image:haojiao	#		号角		
904	10	153	5	0	0	#	0	-1	250	#	5	250	ShopConfig_name_904	ShopConfig_desc_904	set:icon_haojiao.json image:haojiao	#		号角		
905	10	154	5	0	0	#	0	-1	500	#	5	500	ShopConfig_name_905	ShopConfig_desc_905	set:icon_haojiao.json image:haojiao	#		号角		
906	10	155	5	0	0	#	0	-1	1000	#	5	1000	ShopConfig_name_906	ShopConfig_desc_906	set:icon_haojiao.json image:haojiao	#		号角		
907	10	156	5	0	0	#	0	-1	2000	#	5	2000	ShopConfig_name_907	ShopConfig_desc_907	set:icon_haojiao.json image:haojiao	#		号角		
908	10	157	5	0	0	#	0	-1	5000	#	5	5000	ShopConfig_name_908	ShopConfig_desc_908	set:icon_haojiao.json image:haojiao	#		号角		
801	11	158	6	0	0	#	0	-1	10	#	5	10	ShopConfig_name_801	ShopConfig_desc_801	set:free_gift.json image:movie_ticket_icon	#		观影券		
802	11	159	6	0	0	#	0	-1	50	#	5	50	ShopConfig_name_802	ShopConfig_desc_802	set:free_gift.json image:movie_ticket_icon	#		观影券		
803	11	160	6	0	0	#	0	-1	100	#	5	100	ShopConfig_name_803	ShopConfig_desc_803	set:free_gift.json image:movie_ticket_icon	#		观影券		
804	11	161	6	0	0	#	0	-1	250	#	5	250	ShopConfig_name_804	ShopConfig_desc_804	set:free_gift.json image:movie_ticket_icon	#		观影券		
805	11	162	6	0	0	#	0	-1	500	#	5	500	ShopConfig_name_805	ShopConfig_desc_805	set:free_gift.json image:movie_ticket_icon	#		观影券		
806	11	163	6	0	0	#	0	-1	1000	#	5	1000	ShopConfig_name_806	ShopConfig_desc_806	set:free_gift.json image:movie_ticket_icon	#		观影券		
807	11	164	6	0	0	#	0	-1	2000	#	5	2000	ShopConfig_name_807	ShopConfig_desc_807	set:free_gift.json image:movie_ticket_icon	#		观影券		
808	11	165	6	0	0	#	0	-1	5000	#	5	5000	ShopConfig_name_808	ShopConfig_desc_808	set:free_gift.json image:movie_ticket_icon	#		观影券		
