Id	Type	Level	Name	Des	DesPro	Image	CanSell	Weight	SellKey	备注	备注.1	备注.2
21903	4	3	RuneSetting_name_11903	RuneSetting_des_11903	RuneSetting_attrdes_11903	set:runeIcon.json image:rune_11903	-1	1311903	0	羊毛Ⅲ	开局羊毛+9	开局羊毛+9
22001	4	1	RuneSetting_name_12001	RuneSetting_des_12001	RuneSetting_attrdes_12001	set:runeIcon.json image:rune_12001	-1	1112001	0	木镐Ⅰ	开局木镐+1	开局木镐+1
22002	4	2	RuneSetting_name_12002	RuneSetting_des_12002	RuneSetting_attrdes_12002	set:runeIcon.json image:rune_12002	-1	1212002	0	木镐Ⅱ	开局木镐+1	开局木镐+1
22003	4	3	RuneSetting_name_12003	RuneSetting_des_12003	RuneSetting_attrdes_12003	set:runeIcon.json image:rune_12003	-1	1312003	0	木镐Ⅲ	开局木镐+1	开局木镐+1
22101	4	1	RuneSetting_name_12101	RuneSetting_des_12101	RuneSetting_attrdes_12101	set:runeIcon.json image:rune_12101	-1	1112101	0	木斧Ⅰ	开局木斧+1	开局木斧+1
22102	4	2	RuneSetting_name_12102	RuneSetting_des_12102	RuneSetting_attrdes_12102	set:runeIcon.json image:rune_12102	-1	1212102	0	木斧Ⅱ	开局木斧+1	开局木斧+1
22103	4	3	RuneSetting_name_12103	RuneSetting_des_12103	RuneSetting_attrdes_12103	set:runeIcon.json image:rune_12103	-1	1312103	0	木斧Ⅲ	开局木斧+1	开局木斧+1
22201	4	1	RuneSetting_name_12201	RuneSetting_des_12201	RuneSetting_attrdes_12201	set:runeIcon.json image:rune_12201	-1	1112201	0	剪刀Ⅰ	开局剪刀+1	开局剪刀+1
22202	4	2	RuneSetting_name_12202	RuneSetting_des_12202	RuneSetting_attrdes_12202	set:runeIcon.json image:rune_12202	-1	1212202	0	剪刀Ⅱ	开局剪刀+1	开局剪刀+1
22203	4	3	RuneSetting_name_12203	RuneSetting_des_12203	RuneSetting_attrdes_12203	set:runeIcon.json image:rune_12203	-1	1312203	0	剪刀Ⅲ	开局剪刀+1	开局剪刀+1
22301	4	1	RuneSetting_name_12301	RuneSetting_des_12301	RuneSetting_attrdes_12301	set:runeIcon.json image:rune_12301	-1	1112301	0	铁墓Ⅰ	复活获得铁锭+1	复活获得铁锭+1
22302	4	2	RuneSetting_name_12302	RuneSetting_des_12302	RuneSetting_attrdes_12302	set:runeIcon.json image:rune_12302	-1	1212302	0	铁墓Ⅱ	复活获得铁锭+2	复活获得铁锭+2
22303	4	3	RuneSetting_name_12303	RuneSetting_des_12303	RuneSetting_attrdes_12303	set:runeIcon.json image:rune_12303	-1	1312303	0	铁墓Ⅲ	复活获得铁锭+3	复活获得铁锭+3
22401	4	1	RuneSetting_name_12401	RuneSetting_des_12401	RuneSetting_attrdes_12401	set:runeIcon.json image:rune_12401	-1	1112401	0	金墓Ⅰ	复活获得金锭+0.25	复活获得金锭+0.25
22402	4	2	RuneSetting_name_12402	RuneSetting_des_12402	RuneSetting_attrdes_12402	set:runeIcon.json image:rune_12402	-1	1212402	0	金墓Ⅱ	复活获得金锭+0.5	复活获得金锭+0.5
22403	4	3	RuneSetting_name_12403	RuneSetting_des_12403	RuneSetting_attrdes_12403	set:runeIcon.json image:rune_12403	-1	1312403	0	金墓Ⅲ	复活获得金锭+1	复活获得金锭+1
22501	4	1	RuneSetting_name_12501	RuneSetting_des_12501	RuneSetting_attrdes_12501	set:runeIcon.json image:rune_12501	-1	1112501	0	毛堆Ⅰ	复活获得羊毛+2	复活获得羊毛+2
22502	4	2	RuneSetting_name_12502	RuneSetting_des_12502	RuneSetting_attrdes_12502	set:runeIcon.json image:rune_12502	-1	1212502	0	毛堆Ⅱ	复活获得羊毛+3	复活获得羊毛+3
22503	4	3	RuneSetting_name_12503	RuneSetting_des_12503	RuneSetting_attrdes_12503	set:runeIcon.json image:rune_12503	-1	1312503	0	毛堆Ⅲ	复活获得羊毛+4	复活获得羊毛+4
